timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772396110598,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396110618,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396110691,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110711,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110784,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110803,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396110876,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396110894,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396110970,94,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396110988,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396111064,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396111080,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396111157,114,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,114,0,0
1772396111171,100,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,100,0,0
1772396111272,94,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396111272,137,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,137,0,0
1772396111368,123,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,123,0,0
1772396111410,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396111492,94,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396111502,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396111587,124,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,124,0,0
1772396111593,119,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,119,0,0
1772396111712,98,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,98,0,0
1772396111712,98,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396111811,121,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,121,0,0
1772396111811,121,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,121,0,0
1772396111933,98,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,98,0,0
1772396111933,98,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,98,0,0
1772396112032,121,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,120,0,0
1772396112032,121,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,120,0,0
1772396112153,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396112153,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396112078,177,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,177,0,83
1772396112251,95,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,95,0,0
1772396112251,97,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,97,0,0
1772396112256,118,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-3,text,true,,2363,172,3,3,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,118,0,0
